Year,ExpenditureTotalUSMillionsIMF,ExpenditureTravel,ExpenditurePassengerTransport,RegionTotal,RegionAfrica,RegionAmericas,RegionEastAsiaandthePacific,RegionEurope,RegionMiddleEast,RegionSouthAsia,RegionOthernotclassified,RegionOthernotclassifiedofwhichnationalsresidingabroad
1995,995,849,146,701,1,391,6,298,2,1,2,..
1996,"1,026",884,142,759,1,424,7,323,1,1,2,..
1997,623,558,65,814,1,453,7,344,2,1,6,..
1998,769,703,66,685,3,366,9,302,1,1,3,..
1999,643,581,62,587,1,296,5,277,1,1,6,..
2000,469,423,46,469,..,172,3,288,1,..,5,..
2001,677,615,62,584,1,280,7,291,1,..,4,..
2002,484,434,50,432,1,185,4,237,0.4,0.3,4,..
2003,378,331,47,336,..,154,3,175,0.4,0.3,3,..
2004,554,502,52,486,1,218,4,258,..,..,5,..
2005,722,650,72,706,1,374,17,296,10,2,6,..
2006,843,768,75,748,1,412,17,298,10,2,8,..
2007,972,895,77,756,1,412,19,310,10,1,3,..
2008,"1,097","1,030",67,699,1,383,18,283,10,1,3,..
2009,"1,053",988,65,562,1,314,14,220,8,2,3,..
2010,885,831,54,526,..,313,11,193,7,1,1,..
2011,806,740,66,595,1,373,13,194,8,1,5,..
2012,904,844,60,988,3,688,32,240,14,3,8,..
2013,926,858,68,986,4,676,44,230,17,4,11,..
2014,900,836,64,857,4,605,41,180,15,3,9,..
2015,654,575,79,789,3,537,38,187,13,2,9,..
2016,546,473,73,601,3,379,35,162,11,3,8,..
2017,..,..,..,427,2,276,34,104,6,2,4,..